placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,friday,saturday,sunday,monday,tuesday,wednesday,thursday,currentStatus,imgUrl,isClaimed,query,timestamp,info
https://www.google.com/maps/place/OdontoArt+Est%C3%A9tica/data=!4m7!3m6!1s0x935ef182275ce5bd:0xdcdd58cb32e781c4!8m2!3d-16.6834068!4d-49.2645874!16s%2Fg%2F11fv3f11r6!19sChIJveVcJ4LxXpMRxIHnMstY3dw,OdontoArt Estética,4.3,43,Dental clinic,"R. 5, 691 - Sala 406 - St. Oeste, Goiânia - GO, 74115-060, Brazil","8P8P+J5 St. Oeste, Goiânia - State of Goiás, Brazil",http://odontoartestetica.com.br/,+55 62 3587-1497,8 a.m.–6 p.m.,Closed,Closed,8 a.m.–6 p.m.,8 a.m.–6 p.m.,8 a.m.–6 p.m.,8 a.m.–6 p.m.,Open now,https://lh5.googleusercontent.com/p/AF1QipN1rlg_jPxzsM8PLl0Gcrh9jTu24LzztQR6fBRF=w408-h272-k-no,true,"https://www.google.com/maps/search/dentistas+em+goiania/@-16.6706238,-49.4947203,11.5z?entry=ttu",2023-09-15T13:17:07.224Z,
https://www.google.com/maps/place/Barini+Odontologia/data=!4m7!3m6!1s0x935ef1132aaaaaad:0xbfa0caeff3d3a36f!8m2!3d-16.6937866!4d-49.257078!16s%2Fg%2F1tj58vpf!19sChIJraqqKhPxXpMRb6PT8-_KoL8,Barini Odontologia,4.9,105,Dental clinic,"R. 89, 470 - St. Sul, Goiânia - GO, 74093-140, Brazil","8P4V+F5 St. Sul, Goiânia - State of Goiás, Brazil",https://www.bariniodontologia.com.br/,+55 62 3773-2645,8 a.m.–6 p.m.,Closed,Closed,8 a.m.–6 p.m.,8 a.m.–6 p.m.,8 a.m.–6 p.m.,8 a.m.–6 p.m.,Open now,https://lh5.googleusercontent.com/p/AF1QipM19No7U_kPbnFwNodUe-3b2wgR2gQqjzT3rbOh=w426-h240-k-no,true,"https://www.google.com/maps/search/dentistas+em+goiania/@-16.6706238,-49.4947203,11.5z?entry=ttu",2023-09-15T13:17:12.076Z,
"https://www.google.com/maps/place/Dra.+Laura+Fenelon,+Dentista/data=!4m7!3m6!1s0x935ef1e5955ac22f:0xa81d05db458377a0!8m2!3d-16.6929167!4d-49.2676838!16s%2Fg%2F11pysstl3z!19sChIJL8JaleXxXpMRoHeDRdsFHag","Dra. Laura Fenelon, Dentista",,,Dentist,"R. 13, 734 - St. Marista, Goiânia - GO, 74150-140, Brazil","8P4J+RW St. Marista, Goiânia - State of Goiás, Brazil",https://www.doctoralia.com.br/laura-fenelon/dentista/goiania?utm_source=google&utm_medium=gmb&utm_campaign=760176&utm_content=website,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LXsDSttG14s26SsIrS4nnQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=253.62128&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/dentistas+em+goiania/@-16.6706238,-49.4947203,11.5z?entry=ttu",2023-09-15T13:17:14.777Z,
https://www.google.com/maps/place/Lund+Odontologia/data=!4m7!3m6!1s0x935ef554eadf0381:0xbd11b6cd3cb00df5!8m2!3d-16.6752108!4d-49.305559!16s%2Fg%2F11gnp0lrs9!19sChIJgQPf6lT1XpMR9Q2wPM22Eb0,Lund Odontologia,5.0,62,Dentist,"R. Natividade, 74 - Qd.92, Lt.26 - Vila Aurora Oeste, Goiânia - GO, 74425-165, Brazil","8MFV+WQ Vila Aurora Oeste, Goiânia - State of Goiás, Brazil",,+55 62 99229-3353,8 a.m.–6:30 p.m.,Closed,Closed,8 a.m.–6:30 p.m.,8 a.m.–6:30 p.m.,8 a.m.–6:30 p.m.,8 a.m.–6:30 p.m.,Open now,https://lh5.googleusercontent.com/p/AF1QipNiccczJTj4i5Z08o1IRtC_qs_T0AHxXHJqw9mZ=w425-h240-k-no,true,"https://www.google.com/maps/search/dentistas+em+goiania/@-16.6706238,-49.4947203,11.5z?entry=ttu",2023-09-15T13:17:17.623Z,
https://www.google.com/maps/place/Dentista+em+Goi%C3%A2nia+%7C+Rir+Odontologia/data=!4m7!3m6!1s0x935ef43d0871cd83:0x87358ac51260549d!8m2!3d-16.6739314!4d-49.3062268!16s%2Fg%2F11hb7dpbl1!19sChIJg81xCD30XpMRnVRgEsWKNYc,Dentista em Goiânia | Rir Odontologia,4.9,80,Dental clinic,"Qd37 Lt.3, Av. Pio XII, 246 - Lj 01 - Setor rodoviário, Goiânia - GO, 74430-215, Brazil","8MGV+CG Goiânia, State of Goiás, Brazil",http://www.odontorir.com.br/,+55 62 3088-5898,8 a.m.–6 p.m.,8 a.m.–12 p.m.,Closed,8 a.m.–6 p.m.,8 a.m.–6 p.m.,8 a.m.–6 p.m.,8 a.m.–6 p.m.,Open now,https://lh5.googleusercontent.com/p/AF1QipOJiu3YzvxT4XfH_ybfXHqjAGdgQZ0gwPFwlPpq=w408-h305-k-no,true,"https://www.google.com/maps/search/dentistas+em+goiania/@-16.6706238,-49.4947203,11.5z?entry=ttu",2023-09-15T13:17:20.498Z,LGBTQ+ friendly
https://www.google.com/maps/place/Cl%C3%ADnica+Dente+%26+Cia/data=!4m7!3m6!1s0x935ef682b0dacf4f:0xe201ecea9dfff215!8m2!3d-16.6887438!4d-49.315085!16s%2Fg%2F11cnr9g8sz!19sChIJT8_asIL2XpMRFfL_nersAeI,Clínica Dente & Cia,4.7,70,Dentist,"Av. Aderup, 413 - Vila Nova Canaa, Goiânia - GO, 74415-010, Brazil","8M6M+GX Vila Nova Canaa, Goiânia - State of Goiás, Brazil",https://clinica-dente-cia-limpeza-de-dente-em-goiania-lente-de.negocio.site/?utm_source=gmb&utm_medium=referral,+55 62 99336-9726,8 a.m.–6 p.m.,8 a.m.–12 p.m.,Closed,8 a.m.–6 p.m.,8 a.m.–6 p.m.,8 a.m.–6 p.m.,8 a.m.–6 p.m.,Open now,https://lh5.googleusercontent.com/p/AF1QipP1n9EsWo1pMkzJtAKkoTAOMotGw6XYXK3hSVLZ=w408-h271-k-no,true,"https://www.google.com/maps/search/dentistas+em+goiania/@-16.6706238,-49.4947203,11.5z?entry=ttu",2023-09-15T13:17:23.948Z,
https://www.google.com/maps/place/Dr.+Gilberto+Fenelon+Das+Neves/data=!4m7!3m6!1s0x935ef1d4600d4a4b:0x7a96feaa49a42223!8m2!3d-16.6929236!4d-49.2676607!16s%2Fg%2F11fn0mn911!19sChIJS0oNYNTxXpMRIyKkSar-lno,Dr. Gilberto Fenelon Das Neves,5.0,4,Dentist,"R. 13, 734 - St. Marista, Goiânia - GO, 74150-140, Brazil","8P4J+RW St. Marista, Goiânia - State of Goiás, Brazil",https://www.doctoralia.com.br/gilberto-fenelon-das-neves/dentista-cirurgiao-buco-maxilo-facial/goiania?utm_source=google&utm_medium=gmb&utm_campaign=208944&utm_content=website,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNTXj3jCi_Y6dc-cvRZAhdOqShAgbDMHPgE1ip1=w408-h305-k-no,true,"https://www.google.com/maps/search/dentistas+em+goiania/@-16.6706238,-49.4947203,11.5z?entry=ttu",2023-09-15T13:17:26.847Z,
"https://www.google.com/maps/place/Dr.+Marco+Aurelio+Ferreira,+Dentista/data=!4m7!3m6!1s0x935ef16487b0071b:0xc26cca9f58fcca96!8m2!3d-16.6950703!4d-49.2581506!16s%2Fg%2F11fn6zm2yd!19sChIJGwewh2TxXpMRlsr8WJ_KbMI","Dr. Marco Aurelio Ferreira, Dentista",,,Dentist,"R. 89, número 658 - St. Sul, Goiânia - GO, 74093-140, Brazil","8P3R+XP St. Sul, Goiânia - State of Goiás, Brazil",https://www.doctoralia.com.br/marco-aurelio-ferreira-2/dentista/goiania?utm_source=google&utm_medium=gmb&utm_campaign=559137&utm_content=website,+55 62 99696-4140,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMF8QQ2rIM6bqqq4jWWFRTpUwey3jL8rk4Qr6xD=w408-h271-k-no,true,"https://www.google.com/maps/search/dentistas+em+goiania/@-16.6706238,-49.4947203,11.5z?entry=ttu",2023-09-15T13:17:29.476Z,
https://www.google.com/maps/place/Instituto+do+Sorriso+Goiania/data=!4m7!3m6!1s0x935ef16a969c448f:0xcab06da8e3e08406!8m2!3d-16.6933096!4d-49.2628483!16s%2Fg%2F1tk1_3q1!19sChIJj0SclmrxXpMRBoTg46htsMo,Instituto do Sorriso Goiania,4.3,7,Dentist,"Av. 85, 1345 - St. Marista, Goiânia - GO, 74160-010, Brazil","8P4P+MV St. Marista, Goiânia - State of Goiás, Brazil",,+55 62 3087-5566,8 a.m.–6 p.m.,8 a.m.–12 p.m.,Closed,8 a.m.–6 p.m.,8 a.m.–6 p.m.,8 a.m.–6 p.m.,8 a.m.–6 p.m.,Open now,https://lh5.googleusercontent.com/p/AF1QipOBI7zW-uNplKgpTkOhTYUj1Tr_-fjSYes485xE=w408-h306-k-no,false,"https://www.google.com/maps/search/dentistas+em+goiania/@-16.6706238,-49.4947203,11.5z?entry=ttu",2023-09-15T13:17:32.765Z,
https://www.google.com/maps/place/Gasa+Odontologia+-+Dentista+-+Goi%C3%A2nia+Viva/data=!4m7!3m6!1s0x935ef50fc1635a7f:0x72328e6818a75ea6!8m2!3d-16.6958332!4d-49.3556213!16s%2Fg%2F11j2lv72gm!19sChIJf1pjwQ_1XpMRpl6nGGiOMnI,Gasa Odontologia - Dentista - Goiânia Viva,4.8,36,Dentist,"Av. Gabriel Henrique de Araújo, 1648 - Quadra 09 lt 43 - Lot. Goiania Viva, Goiânia - GO, 74484-420, Brazil","8J3V+MQ Lot. Goiania Viva, Goiânia - State of Goiás, Brazil",,+55 62 98553-2643,8 a.m.–6 p.m.,8 a.m.–12 p.m.,Closed,8 a.m.–6 p.m.,8 a.m.–6 p.m.,8 a.m.–6 p.m.,8 a.m.–6 p.m.,Open now,https://lh5.googleusercontent.com/p/AF1QipP-pqNpx2aFfJKVExIYIaPzCK0GiAbBTeN6Pbqi=w408-h495-k-no,true,"https://www.google.com/maps/search/dentistas+em+goiania/@-16.6706238,-49.4947203,11.5z?entry=ttu",2023-09-15T13:17:36.299Z,LGBTQ+ friendly
https://www.google.com/maps/place/Odontologia+M%C3%A1xima/data=!4m7!3m6!1s0x935ef16806cd089d:0xa3cdeef3ae939334!8m2!3d-16.685312!4d-49.263272!16s%2Fg%2F1tdx0mkm!19sChIJnQjNBmjxXpMRNJOTrvPuzaM,Odontologia Máxima,4.3,7,Dentist,"R. 3, 800 - 5º andar - St. Oeste, Goiânia - GO, 74115-050, Brazil","8P7P+VM St. Oeste, Goiânia - State of Goiás, Brazil",,+55 62 3215-2318,8 a.m.–6 p.m.,8 a.m.–12 p.m.,Closed,8 a.m.–6 p.m.,8 a.m.–6 p.m.,8 a.m.–6 p.m.,8 a.m.–6 p.m.,Open now,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=smBGkWysralGsawuQPrt_w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=223.37341&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/dentistas+em+goiania/@-16.6706238,-49.4947203,11.5z?entry=ttu",2023-09-15T13:17:39.294Z,
"https://www.google.com/maps/place/Dr.+Cristiano+Belem+Goi%C3%A2nia+%7C+Alinhador+Invis%C3%ADvel,+Implante+Dental,+Pr%C3%B3tese+Dental,+Clareamento,+Limpeza,+Tratamento+Canal/data=!4m7!3m6!1s0x935ef10ef7ec01dd:0xa2c733d3ced92388!8m2!3d-16.6980329!4d-49.251087!16s%2Fg%2F1vknqgmw!19sChIJ3QHs9w7xXpMRiCPZztMzx6I","Dr. Cristiano Belem Goiânia | Alinhador Invisível, Implante Dental, Prótese Dental, Clareamento, Limpeza, Tratamento Canal",4.8,47,Dentist,"Av. Dep. Jamel Cecílio, 1362 - St. Sul, Goiânia - GO, 74085-580, Brazil","8P2X+QH St. Sul, Goiânia - State of Goiás, Brazil",http://www.cristianobelem.com.br/,+55 62 98628-2797,8 a.m.–6 p.m.,Closed,Closed,8 a.m.–6 p.m.,8 a.m.–6 p.m.,8 a.m.–6 p.m.,8 a.m.–6 p.m.,Open now,https://lh5.googleusercontent.com/p/AF1QipNwcfxNE4WdRREY0in-sjYxb8KpniU4tKAsMM4w=w426-h240-k-no,true,"https://www.google.com/maps/search/dentistas+em+goiania/@-16.6706238,-49.4947203,11.5z?entry=ttu",2023-09-15T13:17:42.540Z,
"https://www.google.com/maps/place/Dra.+Thaise+Ferreira,+Dentista/data=!4m7!3m6!1s0x935ef1aa5ba520bf:0x3d8c866b1b09f32d!8m2!3d-16.6950703!4d-49.2581506!16s%2Fg%2F11hz_41pxj!19sChIJvyClW6rxXpMRLfMJG2uGjD0","Dra. Thaise Ferreira, Dentista",,,Dentist,"R. 89, número 658 - St. Sul, Goiânia - GO, 74093-140, Brazil","8P3R+XP St. Sul, Goiânia - State of Goiás, Brazil",https://www.doctoralia.com.br/thaise-ferreira/dentista/goiania?utm_source=google&utm_medium=gmb&utm_campaign=497743&utm_content=website,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=y_8HjEBYr7aNI8IOJChG0Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=312.83337&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/dentistas+em+goiania/@-16.6706238,-49.4947203,11.5z?entry=ttu",2023-09-15T13:17:45.357Z,
https://www.google.com/maps/place/Neo+Odontologia/data=!4m7!3m6!1s0x935ef12cbe9388d1:0x8e3cc3ae80e35da0!8m2!3d-16.71289!4d-49.2830032!16s%2Fg%2F11sh22pgnw!19sChIJ0YiTvizxXpMRoF3jgK7DPI4,Neo Odontologia,,,Dentist,"R. C-137 - Jardim América, Goiânia - GO, 74275-060, Brazil","7PP8+RQ Jardim América, Goiânia - State of Goiás, Brazil",,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=x1ATJxC93B_6hnJ4brAugQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=161.32063&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/dentistas+em+goiania/@-16.6706238,-49.4947203,11.5z?entry=ttu",2023-09-15T13:17:52.831Z,
